image_2,image_1,rt,correct,type,VerbalScored,high_low_verbal,worker_id,trial_no_ptcp
beer,deer,1234.3,1,ortho,4.5,high_verbal,79p4hVcb,11
beer,claw,1588.8,1,NR,4.5,high_verbal,79p4hVcb,39
beer,deer,1144.3,1,ortho,4.666666667,high_verbal,7eDZS0g9,18
beer,claw,1132.7,1,NR,4.666666667,high_verbal,7eDZS0g9,53
beer,claw,1641,1,NR,2.92,low_verbal,7rrmnKSW,30
beer,deer,2296.3,1,ortho,2.92,low_verbal,7rrmnKSW,43
beer,claw,3316.1,1,NR,2.17,low_verbal,7rvMjiCW,51
beer,deer,1453.6,1,ortho,2.17,low_verbal,7rvMjiCW,52
beer,claw,2980.4,1,NR,2.833333333,low_verbal,8Mnv01S8,31
beer,deer,1471.9,1,ortho,2.833333333,low_verbal,8Mnv01S8,47
beer,deer,1651.7,1,ortho,2.75,low_verbal,8yyEgSuX,9
beer,claw,1423.2,1,NR,2.75,low_verbal,8yyEgSuX,53
beer,deer,1550.4,0,ortho,5,high_verbal,AvRdAeDp,22
beer,claw,1700,1,NR,5,high_verbal,AvRdAeDp,36
beer,deer,1203.1,1,ortho,2.25,low_verbal,AZihdj82,50
beer,claw,1025.8,1,NR,2.25,low_verbal,AZihdj82,52
beer,deer,1630.099998,1,ortho,4.75,high_verbal,BfCux7Qy,13
beer,claw,2707.5,1,NR,4.75,high_verbal,BfCux7Qy,31
beer,claw,1829,1,NR,4.67,high_verbal,bj3SfFHq,41
beer,deer,3088.9,0,ortho,4.67,high_verbal,bj3SfFHq,53
beer,deer,2095.8,1,ortho,4.166667,high_verbal,c8Txd3Z5,35
beer,claw,1565.9,1,NR,4.166667,high_verbal,c8Txd3Z5,51
beer,deer,1411,1,ortho,1,low_verbal,CPt18YMj,27
beer,claw,1370,1,NR,1,low_verbal,CPt18YMj,52
beer,deer,1282.9,1,ortho,2.916666667,low_verbal,Ds5BnIYz,39
beer,claw,1198.9,1,NR,2.916666667,low_verbal,Ds5BnIYz,51
beer,claw,2608.6,1,NR,4.75,high_verbal,DuDDHkI9,28
beer,deer,1867,1,ortho,4.75,high_verbal,DuDDHkI9,39
beer,claw,2486.1,1,NR,4.333333,high_verbal,duTSHxzu,14
beer,deer,1454.3,1,ortho,4.333333,high_verbal,duTSHxzu,45
beer,deer,1998.2,1,ortho,3.25,low_verbal,e3BB2RMg,19
beer,claw,2225,1,NR,3.25,low_verbal,e3BB2RMg,31
beer,claw,1095,1,NR,3.17,low_verbal,Ezm1v61p,8
beer,deer,1843,1,ortho,3.17,low_verbal,Ezm1v61p,40
beer,deer,1206,1,ortho,3,low_verbal,fbKqS6qy,22
beer,claw,1109,1,NR,3,low_verbal,fbKqS6qy,53
beer,claw,2192.4,1,NR,1.42,low_verbal,fX6rWWkd,1
beer,deer,1262.1,1,ortho,1.42,low_verbal,fX6rWWkd,43
beer,deer,3174.9,1,ortho,2.58,low_verbal,GJMX4RUC,17
beer,claw,1378.9,1,NR,2.58,low_verbal,GJMX4RUC,34
beer,claw,3453,1,NR,3,low_verbal,gmTxt8dp,11
beer,deer,1846,1,ortho,3,low_verbal,gmTxt8dp,25
beer,deer,2630.4,1,ortho,4.67,high_verbal,gY67hxD2,10
beer,claw,1509,1,NR,4.67,high_verbal,gY67hxD2,51
beer,claw,4347.2,1,NR,2.42,low_verbal,HPiIXyO1,12
beer,deer,3414.9,1,ortho,2.42,low_verbal,HPiIXyO1,31
beer,deer,1998,1,ortho,2.833333333,low_verbal,hRiDYGB2,22
beer,claw,2596,1,NR,2.833333333,low_verbal,hRiDYGB2,39
beer,claw,4814.5,1,NR,4.58,high_verbal,hsk1bUWA,2
beer,deer,1163.7,1,ortho,4.58,high_verbal,hsk1bUWA,23
beer,deer,1484.8,1,ortho,4.75,high_verbal,IbadRTNw,39
beer,claw,4850.4,1,NR,4.75,high_verbal,IbadRTNw,40
beer,deer,1761.6,0,ortho,4.92,high_verbal,IGrNgFbi,24
beer,claw,1799,1,NR,4.92,high_verbal,IGrNgFbi,48
beer,deer,3323.5,0,ortho,4.583333333,high_verbal,IMlP20yi,10
beer,claw,1529.3,1,NR,4.583333333,high_verbal,IMlP20yi,30
beer,deer,2328.5,1,ortho,1.92,low_verbal,JeMnPabT,3
beer,claw,1468.5,1,NR,1.92,low_verbal,JeMnPabT,33
beer,deer,1872,1,ortho,5,high_verbal,Ki4GHif7,19
beer,claw,1243,1,NR,5,high_verbal,Ki4GHif7,43
beer,claw,2847.4,1,NR,4.5,high_verbal,KPfJRNRo,1
beer,deer,2767,0,ortho,4.5,high_verbal,KPfJRNRo,5
beer,claw,3460.3,1,NR,2.58,low_verbal,lAeE5wTL,20
beer,deer,3428.2,0,ortho,2.58,low_verbal,lAeE5wTL,41
beer,claw,2298.9,1,NR,4.67,high_verbal,lcQfoynH,3
beer,deer,1813.4,1,ortho,4.67,high_verbal,lcQfoynH,14
beer,deer,2285.3,0,ortho,4.666667,high_verbal,LpHjkqKd,46
beer,claw,2440.1,1,NR,4.666667,high_verbal,LpHjkqKd,48
beer,deer,2727.5,0,ortho,1.08,low_verbal,LyXqRZhM,23
beer,claw,1720,1,NR,1.08,low_verbal,LyXqRZhM,27
beer,deer,2566,0,ortho,5,high_verbal,m6nAacjH,14
beer,claw,2410,1,NR,5,high_verbal,m6nAacjH,23
beer,deer,1578.8,1,ortho,4.75,high_verbal,mHkNNA58,25
beer,claw,1799.4,1,NR,4.75,high_verbal,mHkNNA58,45
beer,claw,1620,1,NR,2.666666667,low_verbal,mqvAJ91n,12
beer,deer,2958,0,ortho,2.666666667,low_verbal,mqvAJ91n,41
beer,claw,1901.8,1,NR,1.75,low_verbal,mZqk099M,36
beer,deer,1764.3,1,ortho,1.75,low_verbal,mZqk099M,41
beer,claw,2601,1,NR,4.666667,high_verbal,NCar5SZo,5
beer,deer,2006,1,ortho,4.666667,high_verbal,NCar5SZo,37
beer,claw,2426.8,1,NR,4.75,high_verbal,NRFUWLZO,21
beer,deer,1412.9,1,ortho,4.75,high_verbal,NRFUWLZO,49
beer,deer,4139.8,0,ortho,3.083333333,low_verbal,NS1YHcvi,4
beer,claw,3146.1,1,NR,3.083333333,low_verbal,NS1YHcvi,34
beer,deer,1198.9,1,ortho,1.92,low_verbal,Ny0Ml3uz,21
beer,claw,1939.5,1,NR,1.92,low_verbal,Ny0Ml3uz,47
beer,claw,1840.4,1,NR,2.5,low_verbal,OE580Gi8,7
beer,deer,1357.6,1,ortho,2.5,low_verbal,OE580Gi8,15
beer,deer,1542.9,1,ortho,4.67,high_verbal,OHHIBcMJ,31
beer,claw,1425.6,1,NR,4.67,high_verbal,OHHIBcMJ,52
beer,claw,2199,1,NR,2.916666667,low_verbal,OwZfp5qv,6
beer,deer,2569,1,ortho,2.916666667,low_verbal,OwZfp5qv,18
beer,claw,1814,1,NR,2.916666667,low_verbal,ozMU0TCL,36
beer,deer,2671,1,ortho,2.916666667,low_verbal,ozMU0TCL,38
beer,deer,1830.6,1,ortho,4.916666667,high_verbal,Po8DLpvd,20
beer,claw,2060.1,1,NR,4.916666667,high_verbal,Po8DLpvd,44
beer,deer,1677,0,ortho,4.333333,high_verbal,Ps3HVmAH,33
beer,claw,1197.5,1,NR,4.333333,high_verbal,Ps3HVmAH,52
beer,deer,1993.4,0,ortho,1.5,low_verbal,pylKRwzb,47
beer,claw,636,1,NR,1.5,low_verbal,pylKRwzb,48
beer,deer,1828,1,ortho,5,high_verbal,qFEgGDhX,12
beer,claw,1120,1,NR,5,high_verbal,qFEgGDhX,19
beer,claw,2306.4,1,NR,3,low_verbal,qkCSFiGm,5
beer,deer,3620.9,0,ortho,3,low_verbal,qkCSFiGm,20
beer,deer,2993.2,1,ortho,4.166667,high_verbal,qPOXJpNv,21
beer,claw,1729.9,1,NR,4.166667,high_verbal,qPOXJpNv,25
beer,deer,1310.6,1,ortho,4.416667,high_verbal,Qy5J1Mxs,36
beer,claw,1351.8,1,NR,4.416667,high_verbal,Qy5J1Mxs,43
beer,deer,2474,0,ortho,2.58,low_verbal,rdIExOr9,28
beer,claw,2070,1,NR,2.58,low_verbal,rdIExOr9,41
beer,deer,1748.8,1,ortho,4.166667,high_verbal,RHqN8QGm,16
beer,claw,1235.2,1,NR,4.166667,high_verbal,RHqN8QGm,41
beer,claw,1872.7,1,NR,4.67,high_verbal,RlmJUu78,25
beer,deer,1353.4,1,ortho,4.67,high_verbal,RlmJUu78,27
beer,deer,1429.7,1,ortho,4.25,high_verbal,sZLRQDIR,13
beer,claw,1085.1,1,NR,4.25,high_verbal,sZLRQDIR,27
beer,deer,2432.2,1,ortho,2.33,low_verbal,TFWelN7f,45
beer,claw,1935.7,1,NR,2.33,low_verbal,TFWelN7f,48
beer,claw,2315.8,1,NR,4.25,high_verbal,ts7nbQkN,9
beer,deer,3502.4,0,ortho,4.25,high_verbal,ts7nbQkN,19
beer,claw,1383.7,1,NR,4.583333333,high_verbal,U8Rxi9rz,16
beer,deer,1815.6,0,ortho,4.583333333,high_verbal,U8Rxi9rz,37
beer,deer,2058.5,1,ortho,1.67,low_verbal,UhCBWnbb,4
beer,claw,1834,1,NR,1.67,low_verbal,UhCBWnbb,5
beer,claw,2917.2,1,NR,2.17,low_verbal,vhsbIoXa,16
beer,deer,2116.4,1,ortho,2.17,low_verbal,vhsbIoXa,18
beer,deer,3060,1,ortho,2.83,low_verbal,VxHNyXXR,15
beer,claw,1679,1,NR,2.83,low_verbal,VxHNyXXR,34
beer,deer,2596.1,1,ortho,2.67,low_verbal,wDmKNbjb,33
beer,claw,1821.5,1,NR,2.67,low_verbal,wDmKNbjb,44
beer,deer,1066.1,1,ortho,4.666666667,high_verbal,WewWn58j,45
beer,claw,1520.1,1,NR,4.666666667,high_verbal,WewWn58j,51
beer,claw,2443.7,1,NR,3,low_verbal,xa4C6HC1,5
beer,deer,2565.8,1,ortho,3,low_verbal,xa4C6HC1,38
beer,deer,2007.4,1,ortho,1.75,low_verbal,Xa9ISMwC,1
beer,claw,1825.7,1,NR,1.75,low_verbal,Xa9ISMwC,45
beer,claw,4578.1,1,NR,2.58,low_verbal,xMXJBD7Y,13
beer,deer,1418.4,1,ortho,2.58,low_verbal,xMXJBD7Y,34
beer,deer,2506,1,ortho,4.833333333,high_verbal,xnNpmgQR,42
beer,claw,2053,1,NR,4.833333333,high_verbal,xnNpmgQR,48
beer,deer,1339.8,1,ortho,4.75,high_verbal,XTcCmXvP,1
beer,claw,1205.7,1,NR,4.75,high_verbal,XTcCmXvP,46
beer,claw,3498.9,1,NR,4.75,high_verbal,XWkUpOyp,36
beer,deer,2092.9,0,ortho,4.75,high_verbal,XWkUpOyp,47
beer,claw,1957.5,1,NR,4.83,high_verbal,XxuTNyUr,24
beer,deer,3790.7,1,ortho,4.83,high_verbal,XxuTNyUr,41
beer,deer,2134,1,ortho,4.666666667,high_verbal,y1Ud0IvQ,17
beer,claw,2401,0,NR,4.666666667,high_verbal,y1Ud0IvQ,29
beer,claw,1305.9,1,NR,4.583333333,high_verbal,ycrZF9Ui,45
beer,deer,1044,0,ortho,4.583333333,high_verbal,ycrZF9Ui,52
beer,claw,2186.1,1,NR,4.833333333,high_verbal,yduNAfJN,34
beer,deer,1714.6,1,ortho,4.833333333,high_verbal,yduNAfJN,38
beer,claw,3765.4,1,NR,4.92,high_verbal,yI870PhA,1
beer,deer,3608.6,1,ortho,4.92,high_verbal,yI870PhA,26
beer,claw,1229.9,1,NR,4.92,high_verbal,zfMwhrdi,1
beer,deer,2564.5,1,ortho,4.92,high_verbal,zfMwhrdi,29
beer,claw,2811.7,1,NR,2.17,low_verbal,zzU1ectZ,15
beer,deer,1458.9,1,ortho,2.17,low_verbal,zzU1ectZ,42
bell,nose,2265.1,1,NR,2.25,low_verbal,05Wo9IGy,21
bell,well,1267.8,1,ortho,2.25,low_verbal,05Wo9IGy,37
bell,nose,1696.5,1,NR,1.75,low_verbal,0CxunTLR,23
bell,well,1722.6,1,ortho,1.75,low_verbal,0CxunTLR,49
bell,well,2555.3,1,ortho,2.42,low_verbal,0EwA9ugv,13
bell,nose,763.3,0,NR,2.42,low_verbal,0EwA9ugv,52
bell,well,1603.6,1,ortho,2.58,low_verbal,0X9nY8Ym,3
bell,nose,1114,1,NR,2.58,low_verbal,0X9nY8Ym,37
bell,well,2194,1,ortho,2.833333333,low_verbal,1hM1LUCj,3
bell,nose,2685,1,NR,2.833333333,low_verbal,1hM1LUCj,32
bell,nose,1711.4,1,NR,4.166667,high_verbal,26Z3U4Qu,4
bell,well,2546.1,1,ortho,4.166667,high_verbal,26Z3U4Qu,41
bell,nose,2448.9,1,NR,3.083333333,low_verbal,2dXRa5Zq,20
bell,well,3049.6,1,ortho,3.083333333,low_verbal,2dXRa5Zq,27
bell,nose,1792.1,1,NR,4.67,high_verbal,2Ie4vXKm,39
bell,well,2733.5,1,ortho,4.67,high_verbal,2Ie4vXKm,47
bell,well,2415.5,1,ortho,1.83,low_verbal,3DHBLnqj,37
bell,nose,2459.8,1,NR,1.83,low_verbal,3DHBLnqj,44
bell,nose,1618.7,1,NR,4.92,high_verbal,3HwZ3aSO,21
bell,well,2249.6,1,ortho,4.92,high_verbal,3HwZ3aSO,24
bell,nose,1973.3,1,NR,4.83,high_verbal,4ELANfYv,20
bell,well,1607.4,1,ortho,4.83,high_verbal,4ELANfYv,40
bell,well,3563.8,1,ortho,4.833333333,high_verbal,4FubSY7J,29
bell,nose,4181.2,1,NR,4.833333333,high_verbal,4FubSY7J,52
bell,nose,1120.7,1,NR,3.083333333,low_verbal,4KFmznfv,36
bell,well,2582.3,1,ortho,3.083333333,low_verbal,4KFmznfv,47
bell,nose,2245.1,1,NR,1.33,low_verbal,5WF1GwNy,12
bell,well,2430,1,ortho,1.33,low_verbal,5WF1GwNy,23
bell,well,2910.1,1,ortho,4.5,high_verbal,79p4hVcb,13
bell,nose,1369.9,1,NR,4.5,high_verbal,79p4hVcb,27
bell,well,1095.7,1,ortho,4.666666667,high_verbal,7eDZS0g9,9
bell,nose,1138.2,1,NR,4.666666667,high_verbal,7eDZS0g9,20
bell,well,1746.7,1,ortho,2.92,low_verbal,7rrmnKSW,13
bell,nose,1310.5,1,NR,2.92,low_verbal,7rrmnKSW,15
bell,well,1604.3,1,ortho,2.17,low_verbal,7rvMjiCW,21
bell,nose,1362.3,1,NR,2.17,low_verbal,7rvMjiCW,46
bell,nose,3040.8,1,NR,2.833333333,low_verbal,8Mnv01S8,13
bell,well,1476.6,1,ortho,2.833333333,low_verbal,8Mnv01S8,32
bell,nose,4337.8,1,NR,2.75,low_verbal,8yyEgSuX,32
bell,well,1105.8,0,ortho,2.75,low_verbal,8yyEgSuX,36
bell,nose,1439.4,1,NR,5,high_verbal,AvRdAeDp,10
bell,well,1213.1,1,ortho,5,high_verbal,AvRdAeDp,49
bell,well,1497.9,1,ortho,2.25,low_verbal,AZihdj82,27
bell,nose,1143.9,1,NR,2.25,low_verbal,AZihdj82,49
bell,nose,2564.400002,1,NR,4.75,high_verbal,BfCux7Qy,32
bell,well,1542.3,1,ortho,4.67,high_verbal,bj3SfFHq,39
bell,nose,1513.9,1,NR,4.67,high_verbal,bj3SfFHq,49
bell,well,1908,1,ortho,4.166667,high_verbal,c8Txd3Z5,23
bell,nose,1448.2,1,NR,4.166667,high_verbal,c8Txd3Z5,28
bell,well,1371,1,ortho,1,low_verbal,CPt18YMj,25
bell,nose,1553,1,NR,1,low_verbal,CPt18YMj,32
bell,nose,1436.3,1,NR,2.916666667,low_verbal,Ds5BnIYz,29
bell,well,948.2,0,ortho,2.916666667,low_verbal,Ds5BnIYz,49
bell,nose,2052.6,1,NR,4.75,high_verbal,DuDDHkI9,9
bell,well,2983.4,1,ortho,4.75,high_verbal,DuDDHkI9,22
bell,well,4414.6,0,ortho,4.333333,high_verbal,duTSHxzu,28
bell,nose,1728.9,1,NR,4.333333,high_verbal,duTSHxzu,48
bell,nose,1650.9,1,NR,3.25,low_verbal,e3BB2RMg,29
bell,well,1186.4,1,ortho,3.25,low_verbal,e3BB2RMg,34
bell,nose,1709,1,NR,3.17,low_verbal,Ezm1v61p,14
bell,well,1285,1,ortho,3.17,low_verbal,Ezm1v61p,51
bell,well,1514,1,ortho,3,low_verbal,fbKqS6qy,8
bell,nose,1209,1,NR,3,low_verbal,fbKqS6qy,21
bell,nose,1497,1,NR,1.42,low_verbal,fX6rWWkd,3
bell,well,1581.9,1,ortho,1.42,low_verbal,fX6rWWkd,36
bell,nose,1069.6,1,NR,2.58,low_verbal,GJMX4RUC,4
bell,well,1062.3,1,ortho,2.58,low_verbal,GJMX4RUC,47
bell,well,1767,1,ortho,3,low_verbal,gmTxt8dp,18
bell,nose,1648,1,NR,3,low_verbal,gmTxt8dp,29
bell,well,2248.9,1,ortho,4.67,high_verbal,gY67hxD2,23
bell,nose,1299.4,1,NR,4.67,high_verbal,gY67hxD2,39
bell,nose,2164.4,1,NR,2.42,low_verbal,HPiIXyO1,18
bell,well,2287.3,1,ortho,2.42,low_verbal,HPiIXyO1,35
bell,well,1600.5,1,ortho,2.833333333,low_verbal,hRiDYGB2,21
bell,nose,918.5,0,NR,2.833333333,low_verbal,hRiDYGB2,44
bell,well,1597.3,1,ortho,4.58,high_verbal,hsk1bUWA,8
bell,nose,1198.6,0,NR,4.58,high_verbal,hsk1bUWA,27
bell,nose,1540.9,1,NR,4.75,high_verbal,IbadRTNw,4
bell,well,1779.6,1,ortho,4.75,high_verbal,IbadRTNw,24
bell,well,1954.6,1,ortho,4.92,high_verbal,IGrNgFbi,8
bell,nose,1828.6,1,NR,4.92,high_verbal,IGrNgFbi,46
bell,nose,1844.1,1,NR,4.583333333,high_verbal,IMlP20yi,14
bell,well,1474.7,0,ortho,4.583333333,high_verbal,IMlP20yi,38
bell,well,1105.9,1,ortho,1.92,low_verbal,JeMnPabT,25
bell,nose,1106.4,1,NR,1.92,low_verbal,JeMnPabT,39
bell,well,1432,1,ortho,5,high_verbal,Ki4GHif7,7
bell,nose,1042,1,NR,5,high_verbal,Ki4GHif7,20
bell,well,3439.5,1,ortho,4.5,high_verbal,KPfJRNRo,24
bell,nose,1303.7,1,NR,4.5,high_verbal,KPfJRNRo,37
bell,nose,1768.1,1,NR,2.58,low_verbal,lAeE5wTL,7
bell,well,1753.7,1,ortho,2.58,low_verbal,lAeE5wTL,38
bell,well,2009.5,1,ortho,4.67,high_verbal,lcQfoynH,13
bell,nose,2170.1,1,NR,4.67,high_verbal,lcQfoynH,37
bell,nose,1394.6,1,NR,4.666667,high_verbal,LpHjkqKd,22
bell,well,1379.2,1,ortho,4.666667,high_verbal,LpHjkqKd,36
